Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,135,12751,9102,6008,1056,1876,0,1773,7454,629,3259
E:\1__Projects\NetBeans\Beam\src\main\java\com,135,12751,9102,6008,1056,1876,0,1773,7454,629,3259
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs,135,12751,9102,6008,1056,1876,0,1773,7454,629,3259
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam,135,12751,9102,6008,1056,1876,0,1773,7454,629,3259
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core,92,8359,5788,3843,658,1254,0,1317,5773,423,2142
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\entities,3,245,152,106,40,39,0,54,243,10,62
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\exceptions,5,108,36,23,0,24,0,48,191,25,155
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules,77,7678,5408,3577,617,1116,0,1154,5101,357,1804
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data,24,2820,2026,1323,191,374,0,420,1747,109,480
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\base,8,672,425,290,23,93,0,154,668,38,200
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\base\builder,5,354,241,159,13,55,0,58,207,24,131
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\data\daos,6,1712,1394,879,160,180,0,138,588,26,90
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor,11,1594,1266,839,202,187,0,141,516,51,245
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\executor\os,6,780,620,392,82,90,0,70,269,28,138
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio,15,1126,765,532,63,196,0,165,731,67,362
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui,12,863,584,403,49,164,0,115,493,53,293
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\window,6,443,301,221,17,89,0,53,198,24,131
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\io,1,108,72,45,5,16,0,20,104,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi,7,696,484,289,48,137,0,75,299,35,217
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks,13,1113,690,453,108,147,0,276,1458,62,331
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\exceptions,3,55,17,11,0,11,0,27,111,15,93
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\rmi,5,197,109,84,0,50,0,38,136,22,83
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\rmi\interfaces,5,197,109,84,0,50,0,38,136,22,83
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external,21,2718,2155,1481,284,360,0,203,852,103,603
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\sysconsole,20,2688,2140,1467,284,352,0,196,841,99,596
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\sysconsole\exceptions,2,40,14,9,0,8,0,18,74,10,62
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\sysconsole\modules,16,2538,2058,1419,283,320,0,160,693,79,472
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\sysconsole\modules\workers,10,2247,1923,1290,283,218,0,106,471,49,286
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared,10,524,330,213,41,97,0,97,397,49,286
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules,10,524,330,213,41,97,0,97,397,49,286
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config,9,503,323,207,41,92,0,88,360,44,255
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\starter,5,444,321,214,30,78,0,45,143,23,107
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x,7,706,508,257,43,87,0,111,289,31,121
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old,7,706,508,257,43,87,0,111,289,31,121
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\core,2,88,34,25,3,15,0,39,121,10,62
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\core\modules,2,88,34,25,3,15,0,39,121,10,62
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\core\modules\config,2,88,34,25,3,15,0,39,121,10,62
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\starter,1,246,212,79,7,15,0,19,43,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util,4,372,262,153,33,57,0,53,125,17,52
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util\config,4,372,262,153,33,57,0,53,125,17,52
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util\config\jaxpdom,3,315,227,125,30,46,0,42,106,13,45
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util\config\jaxpdom\reader,3,315,227,125,30,46,0,42,106,13,45
